id,url,name,description,num_stars,num_forks,num_issues,num_commits,num_contributors,active_days,last_commit_at,num_functions,used_platforms,used_frameworks,num_packages,num_published_packages,num_faas_handlers,num_faas_runtime_dependencies
31708026,https://github.com/awslabs/aws-lambda-redshift-loader,aws-lambda-redshift-loader,Amazon Redshift Database Loader implemented in AWS Lambda,596,172,247,347,25,3053,2023-07-14T11:22:06Z,2,aws,aws_cloudformation_and_sam,1,0,2,0
40998988,https://github.com/graphql/swapi-graphql,swapi-graphql,A GraphQL schema and server wrapping SWAPI.,1032,275,225,315,25,2906,2023-08-05T17:56:34Z,3,netlify,netlify,1,0,3,0
43688202,https://github.com/devuxd/SeeCodeRun,SeeCodeRun,Live pastebin for JavaScript,30,5,262,772,16,3026,2024-01-17T21:37:56Z,4,firebase,firebase,3,0,0,1
51200755,https://github.com/soruly/anilist-chinese,anilist-chinese,Translate anime titles on anilist.co to Chinese,38,5,181,1559,7,3009,2024-05-03T15:51:05Z,2,cloudflare,wrangler,1,0,0,0
51304121,https://github.com/uvasoftware/scanii-lambda,scanii-lambda,A Sam-Packaged AWS Lambda client to the scanii.com content processing service,26,10,79,105,5,3017,2024-03-24T14:31:10Z,2,aws,aws_cloudformation_and_sam,1,0,2,0
65331015,https://github.com/zeplin/zeplin-html-to-pdf,zeplin-html-to-pdf,AWS Lambda function that converts HTML pages to PDF documents,123,49,42,61,8,2827,2024-05-07T08:20:38Z,1,aws,aws_cloudformation_and_sam,1,0,1,0
74162100,https://github.com/openhab/openhab-alexa,openhab-alexa,openHAB skill for Amazon Alexa,151,89,676,582,20,2657,2024-02-27T21:05:01Z,1,aws,aws_cloudformation_and_sam,1,0,1,0
77871523,https://github.com/SumoLogic/sumologic-azure-function,sumologic-azure-function,A collection of Azure functions to collect data and send to Sumo Logic cloud service,8,23,104,408,13,2647,2024-04-03T08:38:15Z,15,azure,azure_functions;azure_resource_manager,6,0,0,0
78063990,https://github.com/gladly-team/tab,tab,Tab for a Cause – the easiest way to do good every day,107,21,1660,7888,12,2663,2024-04-21T05:17:21Z,2,aws,aws_cloudformation_and_sam;serverless,7,0,12,0
79137062,https://github.com/DFEAGILEDEVOPS/MTC,MTC,Multiplication Tables,11,14,2790,3221,13,2675,2024-05-14T15:48:36Z,41,azure,azure_durable_functions;azure_functions,22,0,0,0
80081690,https://github.com/mojodna/osm-pds-pipelines,osm-pds-pipelines,OSM PDS pipeline,31,4,47,110,2,2373,2023-07-26T18:26:13Z,1,aws,aws_cloudformation_and_sam,4,0,0,0
