id,url,name,description,num_stars,num_forks,num_issues,num_commits,num_contributors,active_days,last_commit_at,num_functions,used_platforms,used_frameworks,num_packages,num_published_packages,num_faas_handlers,num_faas_runtime_dependencies
108695,https://github.com/GMOD/jbrowse,jbrowse,"JBrowse 1, a full-featured genome browser built with JavaScript and HTML5. For JBrowse 2, see https://github.com/GMOD/jbrowse-components.",457,197,1625,8129,45,5712,2023-02-06T16:31:12Z,0,,,3,0,0,0
402046,https://github.com/parallax/jsPDF,jsPDF,Client-side JavaScript PDF generation for everyone.,28258,4594,3720,2267,176,5108,2023-04-15T13:44:08Z,0,,,1,0,0,0
436353,https://github.com/stsquad/emacs_chrome,emacs_chrome,"A Chromium/Firefox ""clone"" of It's All Text for spawning an editor to edit text areas in browsers. Based on David Hilley's original Chromium extension.",506,93,187,407,33,5105,2023-12-04T13:19:38Z,0,,,1,0,0,0
478584,https://github.com/jsdom/jsdom,jsdom,"A JavaScript implementation of various web standards, for use with Node.js",19881,1636,3680,3650,290,5117,2024-01-21T13:05:22Z,0,,,2,0,0,0
527644,https://github.com/less/less.js,less.js,Less. The dynamic stylesheet language.,16985,3418,3803,2978,234,5076,2024-01-18T01:26:29Z,0,,,2,0,0,0
597879,https://github.com/Automattic/mongoose,mongoose,MongoDB object modeling designed to work in an asynchronous environment.,26545,3768,14308,21018,402,5153,2024-05-15T11:07:41Z,0,,,2,0,0,0
655209,https://github.com/node-formidable/formidable,formidable,"The most used, flexible, fast and streaming parser for multipart form data. Supports uploading to serverless environments, AWS S3, Azure, GCP or the filesystem. Used in production.",6921,678,941,702,80,4862,2023-08-25T14:21:23Z,0,,,1,0,0,0
680541,https://github.com/xmppo/node-expat,node-expat,libexpat XML SAX parser binding for node.js,384,98,229,313,29,5039,2024-03-08T14:53:18Z,0,,,1,0,0,0
698041,https://github.com/caolan/async,async,Async utilities for node and the browser,28068,2398,1954,1937,235,5065,2024-03-25T21:32:58Z,0,,,1,0,1,0
698944,https://github.com/cyu/rack-cors,rack-cors,"Rack Middleware for handling Cross-Origin Resource Sharing (CORS), which makes cross-origin AJAX possible.",3239,256,274,294,63,5039,2024-03-19T14:55:58Z,0,,,0,0,0,0
701765,https://github.com/GeoNode/geonode,geonode,"GeoNode is an open source platform that facilitates the creation, sharing, and collaborative use of geospatial data.",1372,1101,12200,18891,240,5342,2024-05-15T15:07:16Z,0,,,2,0,0,0
714074,https://github.com/pouchdb/pouchdb,pouchdb,:koala: - PouchDB is a pocket-sized database.,16246,1439,8907,5176,367,5082,2024-05-09T11:38:48Z,0,,,1,0,0,0
718434,https://github.com/slowe/Chromoscope,Chromoscope,Chromoscope lets you explore our Galaxy (the Milky Way) and the distant Universe in a range of wavelengths from X-rays to the longest radio waves.,38,8,56,211,4,4901,2023-11-13T16:06:41Z,0,,,0,0,0,0
732593,https://github.com/cloudera/hue,hue,Open source SQL Query Assistant service for Databases/Warehouses,1073,350,3637,20914,231,5072,2024-05-15T04:58:32Z,0,,,7,0,65,0
747698,https://github.com/sinonjs/sinon,sinon,"Test spies, stubs and mocks for JavaScript.",9541,764,2596,3633,328,5161,2024-05-15T12:09:16Z,0,,,2,0,0,0
790359,https://github.com/sequelize/sequelize,sequelize,"Feature-rich ORM for modern Node.js and TypeScript, it supports PostgreSQL (with JSON and JSONB support), MySQL, MariaDB, SQLite, MS SQL Server, Snowflake, Oracle DB (v6), DB2 and DB2 for IBM i.",28987,4239,16742,10926,376,5017,2024-04-16T14:13:30Z,0,,,13,0,0,0
797129,https://github.com/node-apn/node-apn,node-apn,:calling: Apple Push Notification module for Node.js,4369,677,728,1108,62,4816,2023-10-02T00:21:46Z,0,,,1,0,0,0
907262,https://github.com/jazzband/django-tinymce,django-tinymce,TinyMCE integration for Django,1236,317,467,523,56,5730,2024-04-29T22:15:28Z,0,,,0,0,0,0
915160,https://github.com/onilabs/stratifiedjs,stratifiedjs,Oni StratifiedJS (previously Apollo),231,22,20,2441,7,4989,2024-05-14T00:52:45Z,0,,,1,0,0,0
931039,https://github.com/browserify/browserify,browserify,browser-side require() the node.js way,14513,1184,2057,2291,169,4777,2023-10-21T07:13:09Z,0,,,1,0,0,0
948957,https://github.com/Automattic/node-canvas,node-canvas,Node canvas is a Cairo backed Canvas implementation for NodeJS.,9860,1129,2367,1922,155,4946,2024-04-14T05:31:47Z,0,,,1,0,0,0
991475,https://github.com/brianc/node-postgres,node-postgres,PostgreSQL client for node.js.,11851,1181,3204,2687,280,4973,2024-05-10T17:03:11Z,0,,,8,0,0,0
1130565,https://github.com/node-config/node-config,node-config,Node.js Application Configuration,6188,482,747,701,93,4874,2024-01-31T17:37:13Z,0,,,1,0,0,0
1206546,https://github.com/winstonjs/winston,winston,A logger for just about everything.,21937,1789,2460,1577,351,4882,2024-05-09T16:22:49Z,0,,,1,0,0,0
1213225,https://github.com/highlightjs/highlight.js,highlight.js,JavaScript syntax highlighter with language auto-detection and zero dependencies.,22967,3497,4006,6614,419,6460,2024-04-26T23:41:04Z,0,,,1,0,0,0
1254497,https://github.com/codemirror/codemirror5,codemirror5,"In-browser code editor (version 5, legacy)",26533,4950,7064,7165,414,4850,2024-04-22T19:46:40Z,0,,,1,0,0,0
1336019,https://github.com/mapbox/tilelive,tilelive,fast interface to tiles with pluggable backends - NOT ACTIVELY MAINTAINED,524,105,229,913,26,4915,2024-04-25T19:46:51Z,0,,,1,0,0,0
1338813,https://github.com/paperjs/paper.js,paper.js,"The Swiss Army Knife of Vector Graphics Scripting – Scriptographer ported to JavaScript and the browser, using HTML5 Canvas. Created by @lehni & @puckey",14181,1203,2067,7404,74,4717,2024-01-07T14:15:24Z,0,,,3,0,0,0
1464595,https://github.com/OpenNebula/one,one,The open source Cloud & Edge Computing Platform bringing real freedom to your Enterprise Cloud 🚀,1142,461,6563,20791,142,5810,2024-05-14T12:27:29Z,0,,,2,0,0,0
1584707,https://github.com/vpulim/node-soap,node-soap,A SOAP client and server for node.js.,2962,1476,831,1026,274,4785,2024-05-14T06:45:12Z,0,,,1,0,0,0
1585384,https://github.com/kristopolous/db.js,db.js,Thin portable Javascript document store event-driven database,40,6,10,500,-1,4569,2023-10-11T00:18:34Z,0,,,1,0,0,0
1599151,https://github.com/alphagov/static,static,GOV.UK static files and resources,18,10,3311,10695,194,4783,2024-05-15T13:04:01Z,0,,,1,0,0,0
1602811,https://github.com/fluent-ffmpeg/node-fluent-ffmpeg,node-fluent-ffmpeg,A fluent API to FFMPEG (http://www.ffmpeg.org),7435,857,1269,761,83,4599,2023-11-13T21:58:56Z,0,,,1,0,1,0
